Business Service|Transformation Status
aviva uk:aia business applications npe hpb|
aviva uk:aia business applications prd hps|
aviva uk:aia ctx npe hpb|
aviva uk:aia ctx prd hps|
aviva uk:aia hp applications npe hpb|
aviva uk:aia hp applications prd hps|
aviva uk:aladdin genie prd hpg|
aviva uk:alps (ukl prot) dev hps|
aviva uk:alps (ukl prot) prd hpg|
aviva uk:alps (ukl prot) pre hpg|
aviva uk:alps (ukl prot) prv hpg|
aviva uk:alps (ukl prot) sit hps|
aviva uk:alps (ukl prot) tst hps|
aviva uk:alps (ukl prot) uat hps|
aviva uk:altiris prd hpb|
aviva uk:altiris prd hps|
aviva uk:altiris tst hps|
aviva uk:amos ic tool dev hps|
aviva uk:amos ic tool prd hps|
aviva uk:annuity (ar) prd hpg|
aviva uk:annuity (ar) prd hpp|
aviva uk:annuity payments dev hpg|
aviva uk:annuity payments prd hpg|
aviva uk:annuity valuation prd hpg|
aviva uk:anti virus prd hpb|
aviva uk:anti virus prd hpb(x)|
aviva uk:anti virus prd hpg|
aviva uk:anti virus prd hpg(x)|
aviva uk:anti virus prd hps|
aviva uk:anti virus prd hps(x)|
aviva uk:ap sitefinity db prd hpg|
aviva uk:aperture dev hps|
aviva uk:aperture tst hpb|
aviva uk:aperture tst hps|
aviva uk:appdna prd hpb|
aviva uk:appdna prd hps|
aviva uk:application catalogue prd hps|
aviva uk:appsense prd hps|
aviva uk:appsense prd hps(x)|
aviva uk:appsense tst hps|
aviva uk:aprimo relationship mgt (cyclops) prd hpb|
aviva uk:aprimo relationship mgt (cyclops) prd hps(x)|
aviva uk:aprimo relationshp mgt (cyclops) tst hpb|
aviva uk:aqe magnum dev hpb|
aviva uk:aqe magnum prd hps|
aviva uk:aqe magnum pre hps|
aviva uk:aqe magnum sit hpb|
aviva uk:aqe magnum tst hpb|
aviva uk:aqe magnum uat hpb|
aviva uk:aquadata dev hps|
aviva uk:aquadata prd hpp|
aviva uk:aquadata uat hps|
aviva uk:aquarius dev hps|
aviva uk:aquarius prd hpg|
aviva uk:aquarius prd hpp|
aviva uk:aquarius uat hps|
aviva uk:aquila administrator dev hpg|
aviva uk:aquila administrator tst hpb|
aviva uk:aquila dev hpg|
aviva uk:aquila prd hpp|
aviva uk:aquila tst hpg|
aviva uk:arc-gis dev hpb|
aviva uk:arc-gis poc hpb|
aviva uk:arcsight prd hpb|
aviva uk:arcsight prd hpg|
aviva uk:argus (ai) prd hpg|
aviva uk:argus (ai) uat2 hpb|
aviva uk:aria dev hps|
aviva uk:aria prd hpg|
aviva uk:aria uat hpg|
aviva uk:aries (ukgi) dev hps|
aviva uk:aries (ukgi) prd hpp|
aviva uk:aries (ukgi) uat hps|
aviva uk:aries (ukl) dev hps|
aviva uk:aries (ukl) prd hpb|
aviva uk:aries (ukl) prd hps|
aviva uk:art2 prd hps|
aviva uk:asc dev hpg(x)|
aviva uk:asc dev hps(x)|
aviva uk:asc extranet dev hpb|
aviva uk:asc extranet dev hpg|
aviva uk:asc extranet dev hps|
aviva uk:asc extranet prd hpg|
aviva uk:asc extranet prd hps|
aviva uk:asc extranet pre hpb|
aviva uk:asc extranet pre hpg|
aviva uk:asc extranet pre hps|
aviva uk:asc extranet prv hpg|
aviva uk:asc extranet prv hps|
aviva uk:asc extranet sit hpb|
aviva uk:asc extranet sit hps|
aviva uk:asc extranet sql dev hpb|
aviva uk:asc extranet sql prd hpg|
aviva uk:asc extranet sql pre hpg|
aviva uk:asc extranet sql pre hps|
aviva uk:asc extranet sql prv hpb|
aviva uk:asc extranet sql prv hpg|
aviva uk:asc extranet sql prv hps|
aviva uk:asc extranet sql sit hpb|
aviva uk:asc extranet sql sit hps|
aviva uk:asc extranet sql tst hps|
aviva uk:asc extranet sql uat hpb|
aviva uk:asc extranet tst hpb|
aviva uk:asc extranet tst hps|
aviva uk:asc extranet uat hpb|
aviva uk:asc extranet uat hps|
aviva uk:asc intranet dev hpb|
aviva uk:asc intranet prd hps|
aviva uk:asc intranet tst hpb|
aviva uk:asc intranet uat hps|
aviva uk:asc magnum dev hpb|
aviva uk:asc magnum dev hps|
aviva uk:asc magnum prd hps|
aviva uk:asc magnum pre hps|
aviva uk:asc magnum prv hps|
aviva uk:asc magnum sit hpb|
aviva uk:asc magnum tst hpb|
aviva uk:asc magnum uat hpb|
aviva uk:asc mq dev hpb|
aviva uk:asc mq dev hps|
aviva uk:asc mq prd hps|
aviva uk:asc mq pre hps|
aviva uk:asc mq sit hpb|
aviva uk:asc mq sit hps|
aviva uk:asc mq tst hpb|
aviva uk:asc mq tst hps|
aviva uk:asc mq uat hpb|
aviva uk:asc mq uat hps|
aviva uk:asc outbound dev hpb|
aviva uk:asc outbound dev hps|
aviva uk:asc outbound prd hps|
aviva uk:asc outbound pre hpb|
aviva uk:asc outbound pre hps|
aviva uk:asc outbound prv hpb|
aviva uk:asc outbound prv hps|
aviva uk:asc outbound sit hpb|
aviva uk:asc outbound tst hpb|
aviva uk:asc outbound uat hpb|
aviva uk:asc prd hpg|
aviva uk:asc prd hps|
aviva uk:asc pre hpb|
aviva uk:asc uat hpg|
aviva uk:asc uat hpp|
aviva uk:asc uat hps|
aviva uk:aspnetap db prd hpg|
aviva uk:aspstateap db prd hpg|
aviva uk:assetpro prd hpg|
aviva uk:assyst 6.6 prd hpg|
aviva uk:assyst 6.6 pre hpg|
aviva uk:assyst 6.6 tst hpg|
aviva uk:assyst 6.6 uat hpg|
aviva uk:assyst cmdb gateway dev hpb|
aviva uk:assyst cmdb gateway prd hps|
aviva uk:assyst collector dev hpb|
aviva uk:assyst collector prd hps|
aviva uk:assyst contact user feed prd hpb|
aviva uk:assyst contact user feed prd hpg|
aviva uk:assyst contact user feed prd hpg(x)|
aviva uk:assyst contact user feed prd hps|
aviva uk:assyst dev hpb|
aviva uk:assyst discovery 1.7 prd hpg(x)|
aviva uk:assyst discovery 1.7 prd hps|
aviva uk:assyst dw bridge dev hpb|
aviva uk:assyst dw bridge dev hps|
aviva uk:assyst dw bridge prd hpg|
aviva uk:assyst import processor dev hpb|
aviva uk:assyst import processor prd hps|
aviva uk:assyst import processor prd hps(x)|
aviva uk:assyst import processor pre hpb|
aviva uk:assyst net pre hps|
aviva uk:assyst prd hpg|
aviva uk:assyst pre hpb|
aviva uk:assyst pre hpg|
aviva uk:assyst reporting prd hps|
aviva uk:assyst tst hpb|
aviva uk:assyst tst hpg|
aviva uk:assyst uat hpb|
aviva uk:assyst websphere application dev hpb|
aviva uk:assyst websphere application prd hps|
aviva uk:assyst websphere application pre hpb|
aviva uk:assyst websphere application tst hpb|
aviva uk:asu dev hpg|
aviva uk:asu prd hpg|
aviva uk:athena prd hps|
aviva uk:authentication prd hpg|
aviva uk:autocad prd hps|
aviva uk:autodaf prd hps|
aviva uk:autoenrolment db dev hpg|
aviva uk:autoenrolment db prd hpg|
aviva uk:autoenrolment fileshare dev hps|
aviva uk:autoenrolment fileshare prd hpb|
aviva uk:autoenrolment fileshare prd hps|
aviva uk:aviva card secure dev hps|
aviva uk:aviva card secure prd hpg|
aviva uk:aviva card secure prd hps|
aviva uk:aviva card secure pre hpg|
aviva uk:aviva card secure pre hps|
aviva uk:aviva card secure sit hpb|
aviva uk:aviva card secure sit hps|
aviva uk:aviva card secure tst hpb|
aviva uk:aviva card secure tst hps|
aviva uk:aviva card secure uat hpb|
aviva uk:aviva card secure uat hps|
aviva uk:aviva dr remedial tst hpb|
aviva uk:aviva firewall prd hpg|
aviva uk:aviva firewall prd hps|
aviva uk:aviva sw license manager sql db prd hpb|
aviva uk:aviva world prd hpb|
aviva uk:aviva-shareprice dev hps|
aviva uk:aviva-shareprice prd hps|
aviva uk:axis (ukl) dev hpb|
aviva uk:axis (ukl) prd hpb|
aviva uk:axis (ukl) prd hpg|
aviva uk:axis (ukl) prd hps|
aviva uk:axis (ukl) pre hpb|
aviva uk:axis (ukl) pre hpg|
aviva uk:axis (ukl) pre hps|
aviva uk:axis (ukl) tst hpb|
aviva uk:axis (ukl) uat hpb|
aviva uk:axis (ukl) uat hps|
aviva uk:axis framework (ukgi) uat hpb fmo|
aviva uk:axis framework (ukgi) uat hps- fmo|
aviva uk:back up and storage infra (ai) npe hpb|
aviva uk:back up and storage infra (ai) prd hpg|
aviva uk:back up and storage infra (ai) prd hps|
aviva uk:backup management prd hpb|
aviva uk:backup management prd hpg|
aviva uk:backup management prd hpp|
aviva uk:backup management prd hps|
aviva uk:bacs control dev hpg|
aviva uk:bacs control dev hps|
aviva uk:bacs control prd hpg|
aviva uk:bacs control prd hpp|
aviva uk:bacs prd hpp|
aviva uk:bank address prd hpp|
aviva uk:bankline prd hpg|
aviva uk:barclays pa q&a prosper b2b hpg|
aviva uk:barclays pwss cp dev hpb|
aviva uk:barclays pwss cp prd hps|
aviva uk:barclays pwss cp pre hpg|
aviva uk:barclays pwss cp pre hps|
aviva uk:barclays pwss cp prv hps|
aviva uk:barclays pwss cp tst hpb|
aviva uk:barclays pwss cp tst hps|
aviva uk:barclays pwss cp uat hpb|
aviva uk:barclays pwss cp uat hps|
aviva uk:barclays travel ava dev hpb|
aviva uk:barclays travel ava sit hpb|
aviva uk:barclays travel ava uat hpb|
aviva uk:barclays travel cp dev hpb|
aviva uk:barclays travel cp prd hps|
aviva uk:barclays travel cp tst hpb|
aviva uk:barra prd hpg|
aviva uk:barra uat3 hpb|
aviva uk:bas db dev hps|
aviva uk:bas db prd hpg|
aviva uk:bas db pre hpg|
aviva uk:bas db sit hps|
aviva uk:bas db tst hps|
aviva uk:bas db uat hps|
aviva uk:base rate tracker dev hpb|
aviva uk:base rate tracker dev hps|
aviva uk:base rate tracker prd hps|
aviva uk:base rate tracker prd hps(x)|
aviva uk:base rate tracker pre hps|
aviva uk:base rate tracker pre hps(x)|
aviva uk:base rate tracker tst hpb|
aviva uk:base rate tracker tst hps|
aviva uk:base rate tracker uat hps|
aviva uk:base rate tracker uat hps(x)|
aviva uk:basware dev hpb|
aviva uk:basware prd hpb|Transformed
aviva uk:basware prd hpg|
aviva uk:basware uat3 hpb|
aviva uk:bdr dev hpb|
aviva uk:bdr prd hpg|
aviva uk:bdr uat3 hpb|
aviva uk:bils prd hpg|
aviva uk:bis/vpc dev hpb|
aviva uk:bis/vpc dev hpg|
aviva uk:bis/vpc prd hpg|
aviva uk:biu dev hpg|
aviva uk:biu dev hps|
aviva uk:biu dev hps(x)|
aviva uk:biu prd hpg|
aviva uk:biu tst hpb|
aviva uk:biu tst hps|
aviva uk:biu tst hps(x)|
aviva uk:blackberry dev hps|
aviva uk:blackberry enterprise services 10 prd hpg|
aviva uk:blackberry enterprise services 10 prd hps|
aviva uk:blackberry notes prd hpg|
aviva uk:blackberry notes prd hps|
aviva uk:bladelogic dev hpb|
aviva uk:bladelogic prd hpg|
aviva uk:bladelogic tst hpb|
aviva uk:blast dev hps|
aviva uk:blast prd hpg|
aviva uk:blast prd hpp|
aviva uk:blast uat hps|
aviva uk:bmi db dev hps|
aviva uk:bmi db prd hpg|
aviva uk:bmi db pre hpg|
aviva uk:bmi db sit hps|
aviva uk:bmi db tst hps|
aviva uk:bmi db uat hps|
aviva uk:bmmi dev hps|
aviva uk:bmmi prd hpp|
aviva uk:bmmi tst hps|
aviva uk:bmmi uat hps|
aviva uk:bob dev hpb|
aviva uk:bob prd hpg|
aviva uk:bob uat0 hps|
aviva uk:bob uat1 hps|
aviva uk:bob uat2 hps|
aviva uk:bob uat3 hps|
aviva uk:bob uatr hps|
aviva uk:box loss prd hps|
aviva uk:box management dev hpb|
aviva uk:box management dev hps|
aviva uk:box management prd hpg|
aviva uk:box management prd hpg(x)|
aviva uk:bps dev hpg|
aviva uk:bps prd hpg|
aviva uk:bps uat hpg|
aviva uk:branch management prd hpb|
aviva uk:branch management prd hpb(x)|
aviva uk:branch management prd hps|
aviva uk:branch reference prd hpg|
aviva uk:bre (life) dev hpg|
aviva uk:bre (life) prd hpg|
aviva uk:bre (life) prd hpg(x)|
aviva uk:bre (life) prd hpp|
aviva uk:bre (life) pre hpg|
aviva uk:bre (life) sit hpg|
aviva uk:bre (life) tst hpg|
aviva uk:bre (life) uat hpg|
aviva uk:bre (life) uat hps|
aviva uk:bre (ukhe) dev hpb|
aviva uk:bre (ukhe) dev hpb(x)|
aviva uk:bre (ukhe) dev hpg|
aviva uk:bre (ukhe) dev hpg(x)|
aviva uk:bre (ukhe) dev hps|
aviva uk:bre (ukhe) dev2 hps|
aviva uk:bre (ukhe) prd hpg|
aviva uk:bre (ukhe) prd hpg(x)|
aviva uk:bre (ukhe) pre hpb|
aviva uk:bre (ukhe) pre hpg|
aviva uk:bre (ukhe) pre hpg(x)|
aviva uk:bre (ukhe) sit hpg|
aviva uk:bre (ukhe) trn hps|
aviva uk:bre (ukhe) tst hpg|
aviva uk:bre (ukhe) uat hpg|
aviva uk:bre (ukhe) uat hps|
aviva uk:bt phone disc dev hps|
aviva uk:bt phone disc prd hps|
aviva uk:build forge (ukl) prd hps|
aviva uk:build forge dev hps|
aviva uk:build forge prd hpg|
aviva uk:build management dev hpb|
aviva uk:build management prd hps|
aviva uk:build management prd hps(x)|
aviva uk:build management tst hps|
aviva uk:bundl dev hps|
aviva uk:bundl prd hpp|
aviva uk:bundl uat hps|
aviva uk:business event publisher perf hpg|
aviva uk:business event publisher prd hpg|
aviva uk:business objects (agc) dev hpb|
aviva uk:business objects (agc) dev hpg|
aviva uk:business objects (agc) dev hps|
aviva uk:business objects (agc) prd hpg|
aviva uk:business objects (agc) prd hps|
aviva uk:business objects (agc) pre hpb|
aviva uk:business objects (agc) pre hpg|
aviva uk:business objects (agc) pre hps|
aviva uk:business objects (agc) tst hpb|
aviva uk:business objects (agc) tst hpg|
aviva uk:business objects (agc) tst hps|
aviva uk:business objects (ai) prd hpg|
aviva uk:business objects (ai) uat1 hpb|
aviva uk:business objects (life) dev hpb|
aviva uk:business objects (life) dev hpg|
aviva uk:business objects (life) dev hpg(x)|
aviva uk:business objects (life) dev hps|
aviva uk:business objects (life) prd hpg|
aviva uk:business objects (life) prd hpg(x)|
aviva uk:business objects (life) prd hps|
aviva uk:business objects (life) prd hps(x)|
aviva uk:business objects (life) tst hps|
aviva uk:business objects (life) uat hpb|
aviva uk:business objects (life) uat hps(x)|
aviva uk:business objects (ukgi) dev hpg|
aviva uk:business objects (ukgi) dev hps|
aviva uk:business objects (ukgi) dev hps(x)|
aviva uk:business objects (ukgi) prd hpg|
aviva uk:business objects (ukgi) prd hpg(x)|
aviva uk:business objects (ukgi) prd hps(x)|
aviva uk:business objects (ukgi) tst hps|
aviva uk:business objects prd hps(x)|
aviva uk:business objects tst hpb|
aviva uk:business objects tst hps|
aviva uk:business process capture dev hpb|
aviva uk:business process capture prd hpb|
aviva uk:business process capture tst hpb|
aviva uk:business process catalogue prd hps|
aviva uk:cac - commission allocation prd hpg|
aviva uk:cadiary prd hps|
aviva uk:cadis dev hpb|
aviva uk:cafm explorer prd hpg|
aviva uk:cafm explorer prd hps|
aviva uk:cafm explorer prd hps(x)|
aviva uk:cafm explorer tst hps(x)|
aviva uk:callibrand prd hpb|
aviva uk:capes db prd hpg|
aviva uk:capes dev hpb|
aviva uk:capes dev hpg|
aviva uk:capes dev hps|
aviva uk:capes prd hpg|
aviva uk:capes prd hpg(x)|
aviva uk:capes prd hpp|
aviva uk:capes prd hps|
aviva uk:capes prd hps(x)|
aviva uk:capes pre hpb|
aviva uk:capes pre hps|
aviva uk:capes sit hpb|
aviva uk:capes tst hpb|
aviva uk:capes uat hpb|
aviva uk:capes uat hpg|
aviva uk:cardinus dev hpg|
aviva uk:cardinus dev hps|
aviva uk:cardinus prd hpg|
aviva uk:cardinus prd hps|
aviva uk:cardmaster dev hps|
aviva uk:cardmaster prd hpp|
aviva uk:cardmaster pre hps|
aviva uk:cardmaster sit hps|
aviva uk:cardmaster tst hps|
aviva uk:cardmaster uat hps|
aviva uk:cashrec prd hpg|
aviva uk:cc lookup dev hpb|
aviva uk:cc lookup prd hps|
aviva uk:cca norwich dev hps|
aviva uk:cca norwich prd hpp|
aviva uk:cca norwich tst hps|
aviva uk:cca norwich uat hps|
aviva uk:ccd marketing prd hpg|
aviva uk:ccd sales - rbs prd hpg|
aviva uk:cch central prd hps|
aviva uk:ccm prd hps|
aviva uk:ccm prd hps(x)|
aviva uk:ccm tst hpb|
aviva uk:cedreq prd hpg|
aviva uk:centennial 2005 (server) prd hps|
aviva uk:centennial 2005 dev hps|
aviva uk:centennial 2005 prd hps|
aviva uk:central coding prd hpg|
aviva uk:central record keeping prd hpg|
aviva uk:cffe dev hps|
aviva uk:cffe prd hpg|
aviva uk:cffe prd hpp|
aviva uk:cffe uat hps|
aviva uk:check point provider prd hpb|
aviva uk:check point smartcnsle prd hpb|
aviva uk:cheetah mail dev hpb|
aviva uk:cheetah mail dev hpb(x)|
aviva uk:cheetah mail prd hps|
aviva uk:citrix infrastructure (ai) prd hps|
aviva uk:claims history lookup dev hps|
aviva uk:claims history lookup prd hpp|
aviva uk:claims history lookup uat hps|
aviva uk:click on a doc dev hps|
aviva uk:click on a doc prd hpg|
aviva uk:click on a doc pre hps|
aviva uk:click on a doc sit hps|
aviva uk:click on a doc tst hps|
aviva uk:click on a doc uat hps|
aviva uk:client dev hpg|
aviva uk:client prd hpg|
aviva uk:cma prd hpb|
aviva uk:cmis dev hpb|
aviva uk:cmis prd hpg|
aviva uk:cmis prd hps|
aviva uk:cmlp policy tracking dev hps|
aviva uk:cmlp policy tracking prd hpp|
aviva uk:cmlp policy tracking uat hps|
aviva uk:coast trading tool dev hpb|
aviva uk:coast trading tool dev hps|
aviva uk:coast trading tool prd hps|
aviva uk:coast trading tool prd hps(x)|
aviva uk:coast trading tool tst hpb|
aviva uk:commercial ari dev hps|
aviva uk:commercial ari prd hpp|
aviva uk:commercial ari uat hps|
aviva uk:commercial flood dev hps|
aviva uk:commercial flood prd hpp|
aviva uk:commercial flood uat hps|
aviva uk:commercial vision ebroker prd hpg|
aviva uk:commercial vision ebroker pre hpg|
aviva uk:commercial vision prd hpg|
aviva uk:commercial vision prd hps|
aviva uk:commercial vision prd hpu|
aviva uk:commercial vision pre hpu|
aviva uk:commercial vision tst hpb|
aviva uk:common esb (ukl) dev hpb|
aviva uk:common esb (ukl) dev hps|
aviva uk:common esb (ukl) prd hpg|
aviva uk:common esb (ukl) pre hpb|
aviva uk:common esb (ukl) pre hpg|
aviva uk:common esb (ukl) prv hpb|
aviva uk:common esb (ukl) prv hpg|
aviva uk:common esb (ukl) prv hps|
aviva uk:common esb (ukl) sit hpb|
aviva uk:common esb (ukl) sit hps|
aviva uk:common esb (ukl) tst hpb|
aviva uk:common esb (ukl) tst hps|
aviva uk:common esb (ukl) uat hpb|
aviva uk:common esb (ukl) uat hps|
aviva uk:common performance mart dev hps|
aviva uk:common performance mart tst hps|
aviva uk:common store prd hpb|
aviva uk:common wps (ukl) dev hpb|
aviva uk:common wps (ukl) dev hps|
aviva uk:common wps (ukl) prd hpg|
aviva uk:common wps (ukl) pre hpg|
aviva uk:common wps (ukl) prv hps|
aviva uk:common wps (ukl) sit hps|
